product_id,listing_price,sale_price,discount,revenue,modified_listing_price,modified_sale_price,modified_discount,modified_revenue
EE4947,120.0,72.0,0.4,8552.0,120.0,72.0,0.4,8552.0
CM6627,25.0,17.0,0.3,2046.0,25.0,17.0,0.3,2046.0
CQ2039,170.0,85.0,0.5,8567.0,170.0,85.0,0.5,8567.0
CG6193,76.0,53.0,0.3,1436.0,76.0,53.0,0.3,1436.0
S82260,120.0,48.0,0.6,4406.0,120.0,48.0,0.6,4406.0
EE4945,120.0,72.0,0.4,10885.0,120.0,72.0,0.4,10885.0
EE7155,80.0,48.0,0.4,4924.0,80.0,48.0,0.4,4924.0
B44846,60.0,30.0,0.5,2321.0,60.0,30.0,0.5,2321.0
EE6044,80.0,48.0,0.4,7170.0,80.0,48.0,0.4,7170.0
EH0192,None,None,,None,,,,
EE7045,80.0,48.0,0.4,5356.0,80.0,48.0,0.4,5356.0
CL7646,27.0,22.0,0.2,1904.0,27.0,22.0,0.2,1904.0
CL7346,30.0,24.0,0.2,1598.0,30.0,24.0,0.2,1598.0
EE5777,90.0,54.0,0.4,3693.0,90.0,54.0,0.4,3693.0
AQ1210,100.0,50.0,0.5,7918.0,100.0,50.0,0.5,7918.0
EF5925,80.0,56.0,0.3,9877.0,80.0,56.0,0.3,9877.0
EE7032,120.0,72.0,0.4,12051.0,120.0,72.0,0.4,12051.0
EE7708,80.0,48.0,0.4,1555.0,80.0,48.0,0.4,1555.0
AQ1119,130.0,65.0,0.5,2691.0,130.0,65.0,0.5,2691.0
F34311,80.0,40.0,0.5,4247.0,80.0,40.0,0.5,4247.0
CL7645,27.0,22.0,0.2,3498.0,27.0,22.0,0.2,3498.0
EE5089,90.0,54.0,0.4,3596.0,90.0,54.0,0.4,3596.0
CL7565,50.0,25.0,0.5,2114.0,50.0,25.0,0.5,2114.0
G27727,80.0,40.0,0.5,3311.0,80.0,40.0,0.5,3311.0
B44697,80.0,40.0,0.5,6118.0,80.0,40.0,0.5,6118.0
CL7400,56.0,28.0,0.5,3426.0,56.0,28.0,0.5,3426.0
CL7437,53.0,26.0,0.5,3528.0,53.0,26.0,0.5,3528.0
CL7563,50.0,25.0,0.5,45.0,50.0,25.0,0.5,45.0
CL7460,60.0,30.0,0.5,2591.0,60.0,30.0,0.5,2591.0
CL7507,50.0,25.0,0.5,0.0,50.0,25.0,0.5,0.0
CM0061,13.0,8.0,0.4,196.0,13.0,8.0,0.4,196.0
F34308,80.0,40.0,0.5,4967.0,80.0,40.0,0.5,4967.0
CL7506,50.0,25.0,0.5,3734.0,50.0,25.0,0.5,3734.0
CL7344,30.0,24.0,0.2,3714.0,30.0,24.0,0.2,3714.0
EE5318,110.0,66.0,0.4,10690.0,110.0,66.0,0.4,10690.0
CL7564,50.0,25.0,0.5,2609.0,50.0,25.0,0.5,2609.0
CL7439,53.0,26.0,0.5,3481.0,53.0,26.0,0.5,3481.0
CL7345,30.0,24.0,0.2,475.0,30.0,24.0,0.2,475.0
CL7644,27.0,22.0,0.2,1244.0,27.0,22.0,0.2,1244.0
CL7438,53.0,26.0,0.5,3719.0,53.0,26.0,0.5,3719.0
CK9843,28.0,17.0,0.4,1420.0,28.0,17.0,0.4,1420.0
EE8738,90.0,54.0,0.4,7872.0,90.0,54.0,0.4,7872.0
CL7576,56.0,28.0,0.5,756.0,56.0,28.0,0.5,756.0
CL7482,46.0,23.0,0.5,4055.0,46.0,23.0,0.5,4055.0
EE6129,60.0,36.0,0.4,65.0,60.0,36.0,0.4,65.0
EG3290,40.0,40.0,0.0,3671.0,40.0,40.0,0.0,3671.0
CL7467,56.0,28.0,0.5,2872.0,56.0,28.0,0.5,2872.0
EF1426,100.0,50.0,0.5,4499.0,100.0,50.0,0.5,4499.0
CL7264,50.0,30.0,0.4,4319.0,50.0,30.0,0.4,4319.0
CL7472,56.0,28.0,0.5,3779.0,56.0,28.0,0.5,3779.0
CL7560,46.0,23.0,0.5,3724.0,46.0,23.0,0.5,3724.0
EE4574,76.0,46.0,0.4,5580.0,76.0,46.0,0.4,5580.0
CL7445,43.0,21.0,0.5,580.0,43.0,21.0,0.5,580.0
CL7404,40.0,20.0,0.5,2303.0,40.0,20.0,0.5,2303.0
CL7515,53.0,26.0,0.5,3767.0,53.0,26.0,0.5,3767.0
EE4763,80.0,48.0,0.4,6047.0,80.0,48.0,0.4,6047.0
CL7616,40.0,24.0,0.4,2936.0,40.0,24.0,0.4,2936.0
CL7591,43.0,21.0,0.5,890.0,43.0,21.0,0.5,890.0
CK9831,28.0,14.0,0.5,1763.0,28.0,14.0,0.5,1763.0
EF2508,66.0,40.0,0.4,2993.0,66.0,40.0,0.4,2993.0
CL7495,46.0,23.0,0.5,3186.0,46.0,23.0,0.5,3186.0
EE5592,110.0,66.0,0.4,6177.0,110.0,66.0,0.4,6177.0
EE5398,None,None,,None,,,,
EE5304,130.0,78.0,0.4,4071.0,130.0,78.0,0.4,4071.0
EE7242,80.0,48.0,0.4,8034.0,80.0,48.0,0.4,8034.0
CM0064,15.0,7.0,0.5,324.0,15.0,7.0,0.5,324.0
EE7885,66.0,40.0,0.4,71.0,66.0,40.0,0.4,71.0
CM0049,15.0,9.0,0.4,1343.0,15.0,9.0,0.4,1343.0
CL7548,48.0,24.0,0.5,2936.0,48.0,24.0,0.5,2936.0
CK1088,56.0,28.0,0.5,3678.0,56.0,28.0,0.5,3678.0
CL7263,50.0,25.0,0.5,2249.0,50.0,25.0,0.5,2249.0
CL7483,46.0,23.0,0.5,2524.0,46.0,23.0,0.5,2524.0
F34340,66.0,33.0,0.5,2078.0,66.0,33.0,0.5,2078.0
CL7590,43.0,21.0,0.5,3791.0,43.0,21.0,0.5,3791.0
CM0030,46.0,23.0,0.5,2028.0,46.0,23.0,0.5,2028.0
CL7468,56.0,28.0,0.5,2519.0,56.0,28.0,0.5,2519.0
EE8076,56.0,34.0,0.4,3144.0,56.0,34.0,0.4,3144.0
CM5955,30.0,30.0,0.0,4912.0,30.0,30.0,0.0,4912.0
B44870,30.0,30.0,0.0,2753.0,30.0,30.0,0.0,2753.0
CL7265,50.0,25.0,0.5,3644.0,50.0,25.0,0.5,3644.0
CL7484,46.0,23.0,0.5,1986.0,46.0,23.0,0.5,1986.0
CL7537,60.0,36.0,0.4,6349.0,60.0,36.0,0.4,6349.0
EE8088,46.0,28.0,0.4,447.0,46.0,28.0,0.4,447.0
CL7577,56.0,28.0,0.5,1763.0,56.0,28.0,0.5,1763.0
CM0058,13.0,8.0,0.4,1094.0,13.0,8.0,0.4,1094.0
EE7698,50.0,30.0,0.4,4858.0,50.0,30.0,0.4,4858.0
CM0009,60.0,30.0,0.5,810.0,60.0,30.0,0.5,810.0
EE7884,70.0,42.0,0.4,151.0,70.0,42.0,0.4,151.0
F36922,80.0,40.0,0.5,5615.0,80.0,40.0,0.5,5615.0
DB3114,76.0,38.0,0.5,3214.0,76.0,38.0,0.5,3214.0
F36217,50.0,25.0,0.5,1080.0,50.0,25.0,0.5,1080.0
EE8272,50.0,30.0,0.4,1889.0,50.0,30.0,0.4,1889.0
CL7538,50.0,25.0,0.5,3284.0,50.0,25.0,0.5,3284.0
EF0695,80.0,48.0,0.4,3714.0,80.0,48.0,0.4,3714.0
DB3599,100.0,50.0,0.5,3149.0,100.0,50.0,0.5,3149.0
CL7321,36.0,22.0,0.4,2060.0,36.0,22.0,0.4,2060.0
DB2117,80.0,40.0,0.5,5975.0,80.0,40.0,0.5,5975.0
EE4698,66.0,40.0,0.4,3207.0,66.0,40.0,0.4,3207.0
B28166,80.0,40.0,0.5,4751.0,80.0,40.0,0.5,4751.0
DB3259,76.0,38.0,0.5,5129.0,76.0,38.0,0.5,5129.0
EE5534,80.0,48.0,0.4,8120.0,80.0,48.0,0.4,8120.0
EF0811,80.0,40.0,0.5,432.0,80.0,40.0,0.5,432.0
CK9723,38.0,19.0,0.5,2222.0,38.0,19.0,0.5,2222.0
CL7322,36.0,22.0,0.4,1399.0,36.0,22.0,0.4,1399.0
CG6021,120.0,60.0,0.5,2700.0,120.0,60.0,0.5,2700.0
CG6188,140.0,70.0,0.5,1008.0,140.0,70.0,0.5,1008.0
BD7685,80.0,40.0,0.5,5399.0,80.0,40.0,0.5,5399.0
BD7475,76.0,38.0,0.5,6428.0,76.0,38.0,0.5,6428.0
EF9226,76.0,46.0,0.4,4678.0,76.0,46.0,0.4,4678.0
F34668,66.0,33.0,0.5,4572.0,66.0,33.0,0.5,4572.0
EE8257,38.0,23.0,0.4,1067.0,38.0,23.0,0.4,1067.0
B37973,120.0,60.0,0.5,3995.0,120.0,60.0,0.5,3995.0
EE7068,76.0,46.0,0.4,1969.0,76.0,46.0,0.4,1969.0
EH1363,60.0,60.0,0.0,648.0,60.0,60.0,0.0,648.0
EE5772,90.0,54.0,0.4,8163.0,90.0,54.0,0.4,8163.0
CG6104,None,None,,None,,,,
EF2437,180.0,90.0,0.5,4050.0,180.0,90.0,0.5,4050.0
CM0070,13.0,8.0,0.4,1388.0,13.0,8.0,0.4,1388.0
D96760,120.0,60.0,0.5,972.0,120.0,60.0,0.5,972.0
CM0077,13.0,8.0,0.4,491.0,13.0,8.0,0.4,491.0
CM0091,15.0,7.0,0.5,337.0,15.0,7.0,0.5,337.0
CL7550,48.0,24.0,0.5,561.0,48.0,24.0,0.5,561.0
F36675,40.0,24.0,0.4,1943.0,40.0,24.0,0.4,1943.0
EF1065,66.0,40.0,0.4,2423.0,66.0,40.0,0.4,2423.0
EH1361,60.0,60.0,0.0,1404.0,60.0,60.0,0.0,1404.0
CL0243,13.0,6.0,0.5,701.0,13.0,6.0,0.5,701.0
CG6177,140.0,70.0,0.5,11464.0,140.0,70.0,0.5,11464.0
FV3288,80.0,80.0,0.0,4751.0,80.0,80.0,0.0,4751.0
EE4949,120.0,72.0,0.4,5054.0,120.0,72.0,0.4,5054.0
BB2344,100.0,40.0,0.6,2448.0,100.0,40.0,0.6,2448.0
EE6080,60.0,30.0,0.5,3617.0,60.0,30.0,0.5,3617.0
EE6047,80.0,48.0,0.4,7170.0,80.0,48.0,0.4,7170.0
EF0078,76.0,46.0,0.4,4021.0,76.0,46.0,0.4,4021.0
EE5565,80.0,48.0,0.4,5528.0,80.0,48.0,0.4,5528.0
EF4965,80.0,80.0,0.0,2592.0,80.0,80.0,0.0,2592.0
EE4946,120.0,72.0,0.4,9589.0,120.0,72.0,0.4,9589.0
B37090,100.0,50.0,0.5,7289.0,100.0,50.0,0.5,7289.0
F36516,43.0,26.0,0.4,1393.0,43.0,26.0,0.4,1393.0
DB3112,60.0,30.0,0.5,3455.0,60.0,30.0,0.5,3455.0
EH1366,60.0,60.0,0.0,7775.0,60.0,60.0,0.0,7775.0
CG6164,80.0,40.0,0.5,6262.0,80.0,40.0,0.5,6262.0
EE4959,120.0,72.0,0.4,5572.0,120.0,72.0,0.4,5572.0
EF2438,180.0,108.0,0.4,2916.0,180.0,108.0,0.4,2916.0
F35567,70.0,35.0,0.5,5102.0,70.0,35.0,0.5,5102.0
EE8165,56.0,34.0,0.4,3265.0,56.0,34.0,0.4,3265.0
EE5846,66.0,40.0,0.4,1069.0,66.0,40.0,0.4,1069.0
F34846,56.0,28.0,0.5,856.0,56.0,28.0,0.5,856.0
B41663,80.0,40.0,0.5,2159.0,80.0,40.0,0.5,2159.0
CK9690,43.0,21.0,0.5,2824.0,43.0,21.0,0.5,2824.0
EE7927,66.0,33.0,0.5,1603.0,66.0,33.0,0.5,1603.0
CK9688,50.0,25.0,0.5,1934.0,50.0,25.0,0.5,1934.0
CK9424,53.0,26.0,0.5,2336.0,53.0,26.0,0.5,2336.0
CK9430,56.0,28.0,0.5,4031.0,56.0,28.0,0.5,4031.0
CG6228,120.0,60.0,0.5,7019.0,120.0,60.0,0.5,7019.0
DB3600,100.0,50.0,0.5,7828.0,100.0,50.0,0.5,7828.0
EE9892,90.0,45.0,0.5,3482.0,90.0,45.0,0.5,3482.0
CL7461,46.0,23.0,0.5,2400.0,46.0,23.0,0.5,2400.0
CK9678,50.0,25.0,0.5,0.0,50.0,25.0,0.5,0.0
CK9696,46.0,23.0,0.5,3890.0,46.0,23.0,0.5,3890.0
CK9695,46.0,23.0,0.5,2152.0,46.0,23.0,0.5,2152.0
CK9683,50.0,25.0,0.5,1754.0,50.0,25.0,0.5,1754.0
CK9692,50.0,25.0,0.5,945.0,50.0,25.0,0.5,945.0
EE7919,60.0,30.0,0.5,4696.0,60.0,30.0,0.5,4696.0
CL7517,53.0,26.0,0.5,2003.0,53.0,26.0,0.5,2003.0
CK9698,46.0,23.0,0.5,331.0,46.0,23.0,0.5,331.0
CK9418,56.0,28.0,0.5,3728.0,56.0,28.0,0.5,3728.0
EF0322,130.0,78.0,0.4,3229.0,130.0,78.0,0.4,3229.0
CK9427,53.0,26.0,0.5,2813.0,53.0,26.0,0.5,2813.0
EF0437,None,None,,None,,,,
EF0435,56.0,28.0,0.5,4988.0,56.0,28.0,0.5,4988.0
CJ8090,50.0,25.0,0.5,1260.0,50.0,25.0,0.5,1260.0
CL7542,50.0,25.0,0.5,4363.0,50.0,25.0,0.5,4363.0
CL7311,36.0,18.0,0.5,712.0,36.0,18.0,0.5,712.0
EE8028,60.0,30.0,0.5,810.0,60.0,30.0,0.5,810.0
CL7398,56.0,28.0,0.5,1411.0,56.0,28.0,0.5,1411.0
CL7306,40.0,20.0,0.5,2519.0,40.0,20.0,0.5,2519.0
CK9697,46.0,23.0,0.5,1779.0,46.0,23.0,0.5,1779.0
CI9915,50.0,25.0,0.5,2924.0,50.0,25.0,0.5,2924.0
CK9590,53.0,26.0,0.5,2432.0,53.0,26.0,0.5,2432.0
CL7458,60.0,30.0,0.5,4804.0,60.0,30.0,0.5,4804.0
CI9913,50.0,25.0,0.5,4318.0,50.0,25.0,0.5,4318.0
CL7459,60.0,30.0,0.5,3995.0,60.0,30.0,0.5,3995.0
CI9991,50.0,25.0,0.5,2609.0,50.0,25.0,0.5,2609.0
F36996,56.0,28.0,0.5,101.0,56.0,28.0,0.5,101.0
CJ7974,53.0,26.0,0.5,2527.0,53.0,26.0,0.5,2527.0
CL7588,43.0,21.0,0.5,309.0,43.0,21.0,0.5,309.0
CL7407,40.0,20.0,0.5,3274.0,40.0,20.0,0.5,3274.0
CL7406,40.0,20.0,0.5,3058.0,40.0,20.0,0.5,3058.0
CK9420,56.0,28.0,0.5,101.0,56.0,28.0,0.5,101.0
CL7389,56.0,28.0,0.5,2015.0,56.0,28.0,0.5,2015.0
CL7516,53.0,26.0,0.5,1335.0,53.0,26.0,0.5,1335.0
CI9989,50.0,25.0,0.5,810.0,50.0,25.0,0.5,810.0
CL7405,40.0,20.0,0.5,1763.0,40.0,20.0,0.5,1763.0
CL7473,56.0,28.0,0.5,151.0,56.0,28.0,0.5,151.0
CJ8110,46.0,23.0,0.5,290.0,46.0,23.0,0.5,290.0
CJ8019,46.0,23.0,0.5,2193.0,46.0,23.0,0.5,2193.0
CK9604,46.0,23.0,0.5,1076.0,46.0,23.0,0.5,1076.0
CK9431,56.0,28.0,0.5,2469.0,56.0,28.0,0.5,2469.0
EE7289,60.0,36.0,0.4,3757.0,60.0,36.0,0.4,3757.0
B75580,50.0,25.0,0.5,3554.0,50.0,25.0,0.5,3554.0
CK9432,56.0,28.0,0.5,856.0,56.0,28.0,0.5,856.0
EE4925,120.0,72.0,0.4,12051.0,120.0,72.0,0.4,12051.0
EE4953,120.0,72.0,0.4,4147.0,120.0,72.0,0.4,4147.0
CL7469,56.0,28.0,0.5,4887.0,56.0,28.0,0.5,4887.0
EF8858,80.0,48.0,0.4,2505.0,80.0,48.0,0.4,2505.0
EF9219,76.0,46.0,0.4,7304.0,76.0,46.0,0.4,7304.0
CL7513,53.0,26.0,0.5,2956.0,53.0,26.0,0.5,2956.0
EE7098,90.0,54.0,0.4,2138.0,90.0,54.0,0.4,2138.0
CL7425,46.0,23.0,0.5,3517.0,46.0,23.0,0.5,3517.0
CL7508,50.0,25.0,0.5,2114.0,50.0,25.0,0.5,2114.0
EE7292,56.0,34.0,0.4,2298.0,56.0,34.0,0.4,2298.0
CL7589,43.0,21.0,0.5,1547.0,43.0,21.0,0.5,1547.0
CJ8061,60.0,30.0,0.5,4966.0,60.0,30.0,0.5,4966.0
EE5847,66.0,40.0,0.4,1425.0,66.0,40.0,0.4,1425.0
